Graph Type,Graph Size,Tower Count,RTo RTa,RTo HTa,RTo OTa,HTo RTa,HTo HTa,HTo OTa,OTo RTa,OTo HTa,OTo OTa
Graph Type,20,3,0,1,2,0,0,2,0,0,0
Graph Type,20,3,0,0,1,0,0,1,0,0,1
Graph Type,Graph Size,Tower Count,RTo RTa,RTo HTa,RTo OTa,HTo RTa,HTo HTa,HTo OTa,OTo RTa,OTo HTa,OTo OTa
Graph Type,20,3,0,0,5,0,0,5,0,0,0
Graph Type,20,3,0,3,1,1,0,1,1,0,1
Graph Type,Graph Size,Tower Count,RTo RTa,RTo HTa,RTo OTa,HTo RTa,HTo HTa,HTo OTa,OTo RTa,OTo HTa,OTo OTa
Graph Type,Graph Size,Tower Count,RTo RTa,RTo HTa,RTo OTa,HTo RTa,HTo HTa,HTo OTa,OTo RTa,OTo HTa,OTo OTa
Graph Type,50,10,0,0,0,0
Graph Type,50,10,0,0,1,0
Graph Type,Graph Size,Tower Count,RTo RTa,RTo HTa,RTo OTa,HTo RTa,HTo HTa,HTo OTa,OTo RTa,OTo HTa,OTo OTa
Graph Type,50,10,0,0,0,0
Graph Type,50,10,0,0,0,0
Graph Type,Graph Size,Tower Count,RTo RTa,RTo HTa,RTo OTa,HTo RTa,HTo HTa,HTo OTa,OTo RTa,OTo HTa,OTo OTa
Graph Type,50,10,0,0,0,0
Graph Type,50,10,0,0,0,0
Graph Type,Graph Size,Tower Count,RTo RTa,RTo HTa,RTo OTa,HTo RTa,HTo HTa,HTo OTa,OTo RTa,OTo HTa,OTo OTa
Graph Type,50,10,0,0,0,0
Graph Type,50,10,0,0,2,0
Graph Type,Graph Size,Tower Count,RTo RTa,RTo HTa,RTo OTa,HTo RTa,HTo HTa,HTo OTa,OTo RTa,OTo HTa,OTo OTa
Graph Type,Graph Size,Tower Count,RTo RTa,RTo HTa,RTo OTa,HTo RTa,HTo HTa,HTo OTa,OTo RTa,OTo HTa,OTo OTa
Graph Type,Graph Size,Tower Count,RTo RTa,RTo HTa,RTo OTa,HTo RTa,HTo HTa,HTo OTa,OTo RTa,OTo HTa,OTo OTa
Graph Type,Graph Size,Tower Count,RTo RTa,RTo HTa,RTo OTa,HTo RTa,HTo HTa,HTo OTa,OTo RTa,OTo HTa,OTo OTa
Graph Type,Graph Size,Tower Count,RTo RTa,RTo HTa,RTo OTa,HTo RTa,HTo HTa,HTo OTa,OTo RTa,OTo HTa,OTo OTa
Graph Type,Graph Size,Tower Count,RTo RTa,RTo HTa,RTo OTa,HTo RTa,HTo HTa,HTo OTa,OTo RTa,OTo HTa,OTo OTa
Graph Type,Graph Size,Tower Count,RTo RTa,RTo HTa,RTo OTa,HTo RTa,HTo HTa,HTo OTa,OTo RTa,OTo HTa,OTo OTa
Graph Type,Graph Size,Tower Count,RTo RTa,RTo HTa,RTo OTa,HTo RTa,HTo HTa,HTo OTa,OTo RTa,OTo HTa,OTo OTa
Graph Type,Graph Size,Tower Count,RTo RTa,RTo HTa,RTo OTa,HTo RTa,HTo HTa,HTo OTa,OTo RTa,OTo HTa,OTo OTa
Graph Type,50,10,41,40,38,38
Graph Type,50,10,2,7,1,4
Graph Type,Graph Size,Tower Count,RTo RTa,RTo HTa,RTo OTa,HTo RTa,HTo HTa,HTo OTa,OTo RTa,OTo HTa,OTo OTa
Graph Type,50,10,36,45,33,38
Graph Type,50,10,3,6,7,7
Graph Type,Graph Size,Tower Count,RTo RTa,RTo HTa,RTo OTa,HTo RTa,HTo HTa,HTo OTa,OTo RTa,OTo HTa,OTo OTa
Graph Type,Graph Size,Tower Count,RTo RTa,RTo HTa,RTo OTa,HTo RTa,HTo HTa,HTo OTa,OTo RTa,OTo HTa,OTo OTa
Graph Type,Graph Size,Tower Count,RTo RTa,RTo HTa,RTo OTa,HTo RTa,HTo HTa,HTo OTa,OTo RTa,OTo HTa,OTo OTa
Graph Type,50,10,39,40,32,29
Graph Type,50,10,2,6,4,2
Graph Type,Graph Size,Tower Count,RTo RTa,RTo HTa,RTo OTa,HTo RTa,HTo HTa,HTo OTa,OTo RTa,OTo HTa,OTo OTa
Graph Type,50,10,0,0,0,0
Graph Type,50,10,0,0,0,0
Graph Type,Graph Size,Tower Count,RTo RTa,RTo HTa,RTo OTa,HTo RTa,HTo HTa,HTo OTa,OTo RTa,OTo HTa,OTo OTa
Graph Type,50,10,0,0,0,0
Graph Type,50,10,0,0,0,0
Graph Type,Graph Size,Tower Count,RTo RTa,RTo HTa,RTo OTa,HTo RTa,HTo HTa,HTo OTa,OTo RTa,OTo HTa,OTo OTa
Graph Type,50,10,0,0,0,0,0,0
Graph Type,50,10,0,0,2,2,0,2
Graph Type,Graph Size,Tower Count,RTo RTa,RTo HTa,RTo OTa,HTo RTa,HTo HTa,HTo OTa,OTo RTa,OTo HTa,OTo OTa
Graph Type,50,10,0,0,0,0,0,0
Graph Type,50,10,0,0,4,0,0,4
Graph Type,Graph Size,Tower Count,RTo RTa,RTo HTa,RTo OTa,HTo RTa,HTo HTa,HTo OTa,OTo RTa,OTo HTa,OTo OTa
