Graph Type,Graph Size,Tower Count,Tower Type,Target Type,Turns,Tower Clock Time,Target Location Clock Time,Target Move Clock Time,Total Time
ErdosRenyi,4,3,RandomTower,RandomTarget,0,0.8020007610321045,0.8119990825653076,0,1.6549999713897705
ErdosRenyi,4,3,RandomTower,HeuristicTarget,0,0.8020007610321045,0.8369996547698975,0,1.668994426727295
ErdosRenyi,4,3,RandomTower,OptimalTarget,0,0.8020007610321045,0.8659982681274414,0,1.6659977436065674
ErdosRenyi,4,3,HeuristicTower,RandomTarget,0,0.8249976634979248,0.9869997501373291,0,1.7860004901885986
ErdosRenyi,4,3,HeuristicTower,HeuristicTarget,0,0.8249976634979248,1.0009675025939941,0,1.9499998092651367
ErdosRenyi,4,3,HeuristicTower,OptimalTarget,0,0.8249976634979248,0.8679986000061035,0,1.7569983005523682
ErdosRenyi,4,3,OptimalTower,RandomTarget,0,0.8690001964569092,0.9230005741119385,0,1.855001449584961
ErdosRenyi,4,3,OptimalTower,HeuristicTarget,0,0.8690001964569092,1.0939974784851074,0,2.3089983463287354
ErdosRenyi,4,3,OptimalTower,OptimalTarget,0,0.8690001964569092,0.8709967136383057,0,1.7399675846099854
ErdosRenyi,5,3,RandomTower,RandomTarget,0,0.8489997386932373,0.840998649597168,0,1.7369990348815918
ErdosRenyi,5,3,RandomTower,HeuristicTarget,0,0.8489997386932373,0.8519992828369141,0,1.6859793663024902
ErdosRenyi,5,3,RandomTower,OptimalTarget,0,0.8489997386932373,0.9369986057281494,0,1.818000316619873
ErdosRenyi,5,3,HeuristicTower,RandomTarget,0,1.0459997653961182,0.9199957847595215,0,1.9330015182495117
ErdosRenyi,5,3,HeuristicTower,HeuristicTarget,0,1.0459997653961182,0.8620014190673828,0,1.756000280380249
ErdosRenyi,5,3,HeuristicTower,OptimalTarget,0,1.0459997653961182,0.8459992408752441,0,1.7239940166473389
ErdosRenyi,5,3,OptimalTower,RandomTarget,0,0.8529994487762451,0.8409993648529053,0,1.6700012683868408
ErdosRenyi,5,3,OptimalTower,HeuristicTarget,0,0.8529994487762451,0.8730006217956543,0,1.7250030040740967
ErdosRenyi,5,3,OptimalTower,OptimalTarget,0,0.8529994487762451,0.9889976978302002,0,1.8639976978302002
ErdosRenyi,6,3,RandomTower,RandomTarget,0,0.8679986000061035,0.8799998760223389,0,1.7200000286102295
ErdosRenyi,6,3,RandomTower,HeuristicTarget,0,0.8679986000061035,0.868999719619751,0,1.7519738674163818
ErdosRenyi,6,3,RandomTower,OptimalTarget,0,0.8679986000061035,0.8709988594055176,0,1.790980577468872
ErdosRenyi,6,3,HeuristicTower,RandomTarget,0,0.8999996185302734,0.9209997653961182,0,1.837000846862793
ErdosRenyi,6,3,HeuristicTower,HeuristicTarget,0,0.8999996185302734,0.8749990463256836,0,1.7569913864135742
ErdosRenyi,6,3,HeuristicTower,OptimalTarget,0,0.8999996185302734,0.8560009002685547,0,1.7159762382507324
ErdosRenyi,6,3,OptimalTower,RandomTarget,0,0.933516263961792,1.1129982471466064,0,2.1320018768310547
ErdosRenyi,6,3,OptimalTower,HeuristicTarget,0,0.933516263961792,1.1819982528686523,0,2.365999937057495
ErdosRenyi,6,3,OptimalTower,OptimalTarget,0,0.933516263961792,0.9059970378875732,0,2.0559961795806885
ErdosRenyi,7,3,RandomTower,RandomTarget,1,0.886040449142456,0.8999953269958496,0.0,1.7800004482269287
ErdosRenyi,7,3,RandomTower,HeuristicTarget,1,0.886040449142456,0.8439948558807373,0.0,1.711000680923462
ErdosRenyi,7,3,RandomTower,OptimalTarget,1,0.886040449142456,0.8549971580505371,0.0,1.7109999656677246
ErdosRenyi,7,3,HeuristicTower,RandomTarget,0,0.8499999046325684,0.8389976024627686,0,1.6839995384216309
ErdosRenyi,7,3,HeuristicTower,HeuristicTarget,0,0.8499999046325684,0.8310000896453857,0,1.6919856071472168
ErdosRenyi,7,3,HeuristicTower,OptimalTarget,0,0.8499999046325684,0.8459975719451904,0,1.6749746799468994
ErdosRenyi,7,3,OptimalTower,RandomTarget,0,0.8669993877410889,0.8389952182769775,0,1.6620006561279297
ErdosRenyi,7,3,OptimalTower,HeuristicTarget,0,0.8669993877410889,0.837000846862793,0,1.6719813346862793
ErdosRenyi,7,3,OptimalTower,OptimalTarget,0,0.8669993877410889,0.8489997386932373,0,1.6959302425384521
ErdosRenyi,8,3,RandomTower,RandomTarget,0,0.8499975204467773,0.8299951553344727,0,1.6670002937316895
ErdosRenyi,8,3,RandomTower,HeuristicTarget,0,0.8499975204467773,0.8179996013641357,0,1.6619999408721924
ErdosRenyi,8,3,RandomTower,OptimalTarget,0,0.8499975204467773,0.866999626159668,0,1.7109999656677246
ErdosRenyi,8,3,HeuristicTower,RandomTarget,0,0.8389997482299805,0.8289995193481445,0,1.6699998378753662
ErdosRenyi,8,3,HeuristicTower,HeuristicTarget,0,0.8389997482299805,0.8489995002746582,0,1.6909782886505127
ErdosRenyi,8,3,HeuristicTower,OptimalTarget,0,0.8389997482299805,0.8530006408691406,0,1.690974235534668
ErdosRenyi,8,3,OptimalTower,RandomTarget,0,0.88899827003479,0.8399980068206787,0,1.6839993000030518
ErdosRenyi,8,3,OptimalTower,HeuristicTarget,0,0.88899827003479,0.8349957466125488,0,1.6599996089935303
ErdosRenyi,8,3,OptimalTower,OptimalTarget,0,0.88899827003479,0.8420000076293945,0,1.6779978275299072
ErdosRenyi,9,3,RandomTower,RandomTarget,2,0.8499999046325684,0.8379993438720703,0.0,1.6630001068115234
