Graph Type,Graph Size,Tower Count,Tower Type,Target Type,Turns,Run Number
Erdos Renyi,500,24,type,type,0,4
Erdos Renyi,500,25,type,type,0,4
Erdos Renyi,500,26,type,type,0,4
Erdos Renyi,500,27,type,type,0,4
Erdos Renyi,500,28,type,type,0,4
Erdos Renyi,500,29,type,type,0,4
Erdos Renyi,500,30,type,type,0,4
Graph Type,Graph Size,Tower Count,Tower Type,Target Type,Turns,Run Number
Erdos Renyi,500,1,type,type,490,5
Erdos Renyi,500,2,type,type,327,5
Erdos Renyi,500,3,type,type,150,5
Erdos Renyi,500,4,type,type,100,5
Erdos Renyi,500,5,type,type,0,5
Erdos Renyi,500,6,type,type,4,5
Erdos Renyi,500,7,type,type,109,5
Erdos Renyi,500,8,type,type,3,5
Erdos Renyi,500,9,type,type,1,5
Erdos Renyi,500,10,type,type,6,5
Erdos Renyi,500,11,type,type,6,5
Erdos Renyi,500,12,type,type,0,5
Erdos Renyi,500,13,type,type,2,5
Erdos Renyi,500,14,type,type,2,5
Erdos Renyi,500,15,type,type,3,5
Erdos Renyi,500,16,type,type,1,5
Erdos Renyi,500,17,type,type,0,5
Erdos Renyi,500,18,type,type,1,5
Erdos Renyi,500,19,type,type,3,5
Erdos Renyi,500,20,type,type,0,5
Erdos Renyi,500,21,type,type,0,5
Erdos Renyi,500,22,type,type,0,5
Erdos Renyi,500,23,type,type,0,5
Erdos Renyi,500,24,type,type,0,5
Erdos Renyi,500,25,type,type,0,5
Erdos Renyi,500,26,type,type,0,5
Erdos Renyi,500,27,type,type,0,5
Erdos Renyi,500,28,type,type,0,5
Erdos Renyi,500,29,type,type,0,5
Erdos Renyi,500,30,type,type,0,5
Graph Type,Graph Size,Tower Count,Tower Type,Target Type,Turns,Run Number
Erdos Renyi,500,1,type,type,481,6
Erdos Renyi,500,2,type,type,465,6
Erdos Renyi,500,3,type,type,264,6
Erdos Renyi,500,4,type,type,112,6
Erdos Renyi,500,5,type,type,85,6
Erdos Renyi,500,6,type,type,154,6
Erdos Renyi,500,7,type,type,2,6
Erdos Renyi,500,8,type,type,1,6
Erdos Renyi,500,9,type,type,0,6
Erdos Renyi,500,10,type,type,2,6
Erdos Renyi,500,11,type,type,0,6
Erdos Renyi,500,12,type,type,11,6
Erdos Renyi,500,13,type,type,1,6
Erdos Renyi,500,14,type,type,5,6
Erdos Renyi,500,15,type,type,0,6
Erdos Renyi,500,16,type,type,3,6
Erdos Renyi,500,17,type,type,0,6
Erdos Renyi,500,18,type,type,0,6
Erdos Renyi,500,19,type,type,0,6
Erdos Renyi,500,20,type,type,1,6
Erdos Renyi,500,21,type,type,0,6
Erdos Renyi,500,22,type,type,0,6
Erdos Renyi,500,23,type,type,0,6
Erdos Renyi,500,24,type,type,0,6
Erdos Renyi,500,25,type,type,0,6
Erdos Renyi,500,26,type,type,0,6
Erdos Renyi,500,27,type,type,0,6
Erdos Renyi,500,28,type,type,0,6
Erdos Renyi,500,29,type,type,0,6
Erdos Renyi,500,30,type,type,0,6
Graph Type,Graph Size,Tower Count,Tower Type,Target Type,Turns,Run Number
Erdos Renyi,500,1,type,type,490,7
Erdos Renyi,500,2,type,type,436,7
Erdos Renyi,500,3,type,type,173,7
Erdos Renyi,500,4,type,type,230,7
Erdos Renyi,500,5,type,type,197,7
Erdos Renyi,500,6,type,type,71,7
Erdos Renyi,500,7,type,type,38,7
Erdos Renyi,500,8,type,type,0,7
Erdos Renyi,500,9,type,type,15,7
Erdos Renyi,500,10,type,type,0,7
Erdos Renyi,500,11,type,type,10,7
Erdos Renyi,500,12,type,type,1,7
Erdos Renyi,500,13,type,type,3,7
Erdos Renyi,500,14,type,type,0,7
Erdos Renyi,500,15,type,type,2,7
Erdos Renyi,500,16,type,type,1,7
Erdos Renyi,500,17,type,type,0,7
Erdos Renyi,500,18,type,type,1,7
Erdos Renyi,500,19,type,type,1,7
Erdos Renyi,500,20,type,type,0,7
Erdos Renyi,500,21,type,type,1,7
Erdos Renyi,500,22,type,type,0,7
Erdos Renyi,500,23,type,type,1,7
Erdos Renyi,500,24,type,type,0,7
Erdos Renyi,500,25,type,type,0,7
Erdos Renyi,500,26,type,type,0,7
Erdos Renyi,500,27,type,type,0,7
Erdos Renyi,500,28,type,type,0,7
Erdos Renyi,500,29,type,type,0,7
Erdos Renyi,500,30,type,type,0,7
Graph Type,Graph Size,Tower Count,Tower Type,Target Type,Turns,Run Number
Erdos Renyi,500,1,type,type,482,8
Erdos Renyi,500,2,type,type,492,8
Erdos Renyi,500,3,type,type,342,8
Erdos Renyi,500,4,type,type,396,8
Erdos Renyi,500,5,type,type,59,8
Erdos Renyi,500,6,type,type,11,8
Erdos Renyi,500,7,type,type,0,8
Erdos Renyi,500,8,type,type,31,8
Erdos Renyi,500,9,type,type,0,8
Erdos Renyi,500,10,type,type,7,8
Erdos Renyi,500,11,type,type,0,8
Erdos Renyi,500,12,type,type,6,8
Erdos Renyi,500,13,type,type,6,8
Erdos Renyi,500,14,type,type,0,8
Erdos Renyi,500,15,type,type,0,8
Erdos Renyi,500,16,type,type,0,8
Erdos Renyi,500,17,type,type,0,8
Erdos Renyi,500,18,type,type,0,8
Erdos Renyi,500,19,type,type,0,8
Erdos Renyi,500,20,type,type,2,8
Erdos Renyi,500,21,type,type,0,8
Erdos Renyi,500,22,type,type,0,8
Erdos Renyi,500,23,type,type,1,8
Erdos Renyi,500,24,type,type,0,8
Erdos Renyi,500,25,type,type,0,8
Erdos Renyi,500,26,type,type,0,8
Erdos Renyi,500,27,type,type,1,8
Erdos Renyi,500,28,type,type,0,8
Erdos Renyi,500,29,type,type,0,8
Erdos Renyi,500,30,type,type,0,8
Graph Type,Graph Size,Tower Count,Tower Type,Target Type,Turns,Run Number
Erdos Renyi,500,1,type,type,489,9
Erdos Renyi,500,2,type,type,485,9
Erdos Renyi,500,3,type,type,396,9
Erdos Renyi,500,4,type,type,9,9
Erdos Renyi,500,5,type,type,71,9
Erdos Renyi,500,6,type,type,1,9
Erdos Renyi,500,7,type,type,58,9
Erdos Renyi,500,8,type,type,13,9
Erdos Renyi,500,9,type,type,7,9
Erdos Renyi,500,10,type,type,12,9
Erdos Renyi,500,11,type,type,1,9
Erdos Renyi,500,12,type,type,2,9
Erdos Renyi,500,13,type,type,0,9
Erdos Renyi,500,14,type,type,1,9
Erdos Renyi,500,15,type,type,0,9
Erdos Renyi,500,16,type,type,2,9
Erdos Renyi,500,17,type,type,1,9
Erdos Renyi,500,18,type,type,1,9
Erdos Renyi,500,19,type,type,4,9
Erdos Renyi,500,20,type,type,2,9
Erdos Renyi,500,21,type,type,1,9
Erdos Renyi,500,22,type,type,0,9
Erdos Renyi,500,23,type,type,0,9
Erdos Renyi,500,24,type,type,0,9
Erdos Renyi,500,25,type,type,0,9
Erdos Renyi,500,26,type,type,0,9
Erdos Renyi,500,27,type,type,0,9
Erdos Renyi,500,28,type,type,1,9
Erdos Renyi,500,29,type,type,0,9
Erdos Renyi,500,30,type,type,0,9
