Graph Type,Graph Size,Tower Count,Tower Type,Target Type,Turns,Tower Clock Time,Target Location Clock Time,Target Move Clock Time,Total Time,Run Number
ErdosRenyi,4,3,RandomTower,RandomTarget,0,1.0330712795257568,1.1913847923278809,0,2.1779818534851074,0
ErdosRenyi,4,3,RandomTower,HeuristicTarget,0,1.0330712795257568,1.053051233291626,0,2.056185245513916,0
ErdosRenyi,4,3,RandomTower,OptimalTarget,0,1.0330712795257568,1.055506706237793,0,2.1045315265655518,0
ErdosRenyi,4,3,HeuristicTower,RandomTarget,0,1.2177448272705078,1.1818478107452393,0,2.385209083557129,0
ErdosRenyi,4,3,HeuristicTower,HeuristicTarget,0,1.2177448272705078,1.7232019901275635,0,3.094163656234741,0
ErdosRenyi,4,3,HeuristicTower,OptimalTarget,0,1.2177448272705078,1.0607633590698242,0,2.1718637943267822,0
ErdosRenyi,4,3,OptimalTower,RandomTarget,0,1.1555719375610352,1.1717524528503418,0,3.5388386249542236,0
ErdosRenyi,4,3,OptimalTower,HeuristicTarget,0,1.1555719375610352,1.102466106414795,0,2.335157871246338,0
ErdosRenyi,4,3,OptimalTower,OptimalTarget,0,1.1555719375610352,1.1644294261932373,0,2.2514705657958984,0
ErdosRenyi,5,3,RandomTower,RandomTarget,0,1.1870505809783936,1.1490747928619385,0,2.23551607131958,0
ErdosRenyi,5,3,RandomTower,HeuristicTarget,0,1.1870505809783936,1.1025629043579102,0,2.242964267730713,0
ErdosRenyi,5,3,RandomTower,OptimalTarget,0,1.1870505809783936,1.1866860389709473,0,2.3577632904052734,0
ErdosRenyi,5,3,HeuristicTower,RandomTarget,0,1.0803401470184326,1.4222114086151123,0,2.508927822113037,0
ErdosRenyi,5,3,HeuristicTower,HeuristicTarget,0,1.0803401470184326,1.4031882286071777,0,2.806584596633911,0
ErdosRenyi,5,3,HeuristicTower,OptimalTarget,0,1.0803401470184326,1.0868239402770996,0,2.1862971782684326,0
ErdosRenyi,5,3,OptimalTower,RandomTarget,0,1.1491813659667969,1.140009880065918,0,2.2577829360961914,0
ErdosRenyi,5,3,OptimalTower,HeuristicTarget,0,1.1491813659667969,1.1714701652526855,0,2.320733070373535,0
ErdosRenyi,5,3,OptimalTower,OptimalTarget,0,1.1491813659667969,1.070854663848877,0,2.1422715187072754,0
ErdosRenyi,6,3,RandomTower,RandomTarget,1,1.2338063716888428,1.1715435981750488,0.0,2.320279836654663,0
ErdosRenyi,6,3,RandomTower,HeuristicTarget,0,1.2338063716888428,1.3038430213928223,0,2.5580191612243652,0
ErdosRenyi,6,3,RandomTower,OptimalTarget,1,1.2338063716888428,1.1642520427703857,0.0,2.542495012283325,0
ErdosRenyi,6,3,HeuristicTower,RandomTarget,0,1.511582374572754,1.0867509841918945,0,2.1887288093566895,0
ErdosRenyi,6,3,HeuristicTower,HeuristicTarget,0,1.511582374572754,1.086987018585205,0,2.188751220703125,0
ErdosRenyi,6,3,HeuristicTower,OptimalTarget,0,1.511582374572754,1.0017914772033691,0,2.0504965782165527,0
ErdosRenyi,6,3,OptimalTower,RandomTarget,0,1.0180063247680664,1.001220464706421,0,2.0065553188323975,0
ErdosRenyi,6,3,OptimalTower,HeuristicTarget,0,1.0180063247680664,1.0177953243255615,0,2.0174498558044434,0
ErdosRenyi,6,3,OptimalTower,OptimalTarget,0,1.0180063247680664,1.0335605144500732,0,2.036005973815918,0
ErdosRenyi,7,3,RandomTower,RandomTarget,0,1.0241014957427979,1.017883062362671,0,2.03579044342041,0
ErdosRenyi,7,3,RandomTower,HeuristicTarget,0,1.0241014957427979,1.0174212455749512,0,2.0568535327911377,0
ErdosRenyi,7,3,RandomTower,OptimalTarget,0,1.0241014957427979,1.0177505016326904,0,2.0512747764587402,0
ErdosRenyi,7,3,HeuristicTower,RandomTarget,0,0.9956204891204834,1.0173859596252441,0,2.03471302986145,0
ErdosRenyi,7,3,HeuristicTower,HeuristicTarget,0,0.9956204891204834,1.0021932125091553,0,2.0195300579071045,0
ErdosRenyi,7,3,HeuristicTower,OptimalTarget,0,0.9956204891204834,1.0238726139068604,0,2.0409388542175293,0
ErdosRenyi,7,3,OptimalTower,RandomTarget,0,1.0492799282073975,1.0024125576019287,0,1.989093542098999,0
ErdosRenyi,7,3,OptimalTower,HeuristicTarget,0,1.0492799282073975,1.0178155899047852,0,2.0200185775756836,0
ErdosRenyi,7,3,OptimalTower,OptimalTarget,0,1.0492799282073975,1.3229448795318604,0,2.627753496170044,0
ErdosRenyi,8,3,RandomTower,RandomTarget,0,1.3187439441680908,1.0044689178466797,0,2.0415358543395996,0
ErdosRenyi,8,3,RandomTower,HeuristicTarget,0,1.3187439441680908,1.033698558807373,0,2.0515334606170654,0
ErdosRenyi,8,3,RandomTower,OptimalTarget,0,1.3187439441680908,1.0175848007202148,0,2.0573441982269287,0
ErdosRenyi,8,3,HeuristicTower,RandomTarget,0,1.0338351726531982,0.9958908557891846,0,2.0194456577301025,0
ErdosRenyi,8,3,HeuristicTower,HeuristicTarget,0,1.0338351726531982,1.001727819442749,0,2.0342459678649902,0
ErdosRenyi,8,3,HeuristicTower,OptimalTarget,1,1.0338351726531982,1.0175118446350098,0.0,2.019857883453369,0
ErdosRenyi,8,3,OptimalTower,RandomTarget,0,1.0957858562469482,1.2049329280853271,0,2.461238384246826,0
ErdosRenyi,8,3,OptimalTower,HeuristicTarget,0,1.0957858562469482,1.2237367630004883,0,2.5177810192108154,0
ErdosRenyi,8,3,OptimalTower,OptimalTarget,0,1.0957858562469482,1.0175378322601318,0,2.051147222518921,0
